12742|A. A. Attanasio|El Dragón y el Unicornio|Novela, Fantástico, Histórico
12743|A. A. Attanasio|El Lobo y la Corona|Novela, Fantástico, Histórico
10025|A. A. Attanasio|Radix|Novela, Ciencia ficción
14462|A. A. Attanasio|Reino del Grial|Novela, Fantástico
17192|A. A. Fair|Agencia de detectives|Novela, Policial
21184|A. A. Fair|Algunas mujeres no esperan|Novela, Policial
17360|A. A. Fair|A quién le toque?|Novela, Policial
20914|A. A. Fair|Asesinato imperfecto|Novela, Policial
19892|A. A. Fair|Bertha, la tetera y el gato|Novela, Policial
17203|A. A. Fair|Carnada seductora|Novela, Policial
20913|A. A. Fair|Contar hasta nueve|Novela, Policial
19748|A. A. Fair|Cuidado con las curvas|Novela, Policial
19518|A. A. Fair|Doble o sencillo|Novela, Policial
17193|A. A. Fair|Donald Lam detective|Novela, Policial
19891|A. A. Fair|El ciego y el murciélago|Novela, Policial
17194|A. A. Fair|El profesor de gimnasia|Novela, Policial
20094|A. A. Fair|Hay que cerrar las ventanas|Novela, Policial
17195|A. A. Fair|La coquetería de Bertha Cool|Novela, Policial
20467|A. A. Fair|La puerta verde|Novela, Policial
19364|A. A. Fair|Las lechuzas lo ven todo|Novela, Policial
17197|A. A. Fair|Los cuervos no saben contar|Novela, Policial
17198|A. A. Fair|Los tontos mueren en viernes|Novela, Policial
17201|A. A. Fair|Los tramposos no pueden cambiar sus fichas|Novela, Policial
17199|A. A. Fair|Mujeres Atrapadas|Novela, Policial
20469|A. A. Fair|Se puede morir riendo|Novela, Policial
19246|A. A. Fair|Un accidente que trae cola|Novela, Policial
20468|A. A. Fair|Un desliz sin importancia|Novela, Policial
31459|Aaron Allston|Jugement|Novela, Ciencia ficción
30545|Aaron Allston|Proscrit|Novela, Ciencia ficción
31456|Aaron Allston|Revers|Novela, Ciencia ficción
5590|Aaron Allston|Tras las líneas enemigas II - Resistencia rebelde|Novela, Ciencia ficción
7397|Aaron Allston|Tras las líneas enemigas I - Sueño rebelde|Novela, Ciencia ficción
24874|Aaron Copland|Como escuchar la música|Divulgación, Arte
18362|Aaron Dembski-Bowden|Acechante del vacío|Novela, Ciencia ficción
18360|Aaron Dembski-Bowden|Cazador de almas|Relato, Ciencia ficción
18361|Aaron Dembski-Bowden|Cosechador de sangre|Novela, Ciencia ficción
2931|Aaron Dembski-bowden|El primer hereje|Novela, Ciencia ficción
3476|Aaron Dembski-Bowden|Helsreach|Novela, Ciencia ficción
19095|Aaron Rosenberg & Christie Golden|Más allá del portal oscuro|Novela, Aventuras, Fantástico
12688|Aaron Rosenberg|Mareas tenebrosas|Novela, Aventuras, Fantástico
31334|AA. VV.|350 palabras|Relato, Otros
7646|AA. VV.|400 pequeñas dosis de ciencia|Divulgación, Ciencias naturales
31450|AA. VV.|40 años con Franco|Divulgación, Historia
21415|AA. VV.|70 preguntas curiosas sobre el mundo que nos rodea y sus asombrosas respuestas|Divulgación, Ciencias naturales, Salud y bienestar, Tecnología
19889|AA. VV.|Alemán - Unidad 01|Referencia, Manuales y cursos
19930|AA. VV.|Alemán - Unidad 02|Referencia, Manuales y cursos
19991|AA. VV.|Alemán - Unidad 03|Referencia, Manuales y cursos
19992|AA. VV.|Alemán - Unidad 04|Referencia, Manuales y cursos
19993|AA. VV.|Alemán - Unidad 05|Referencia, Manuales y cursos
19994|AA. VV.|Alemán - Unidad 06|Referencia, Manuales y cursos
20373|AA. VV.|Alemán - Unidad 07|Referencia, Manuales y cursos
20474|AA. VV.|Alemán - Unidad 08|Referencia, Manuales y cursos
19929|AA. VV.|Alemán - Unidad 09|Referencia, Manuales y cursos
20578|AA. VV.|Alemán - Unidad 10|Referencia, Manuales y cursos
20618|AA. VV.|Alemán - Unidad 11|Referencia, Manuales y cursos
20884|AA. VV.|Alemán - Unidad 12|Referencia, Manuales y cursos
21167|AA. VV.|Alemán - Unidad 13|Referencia, Manuales y cursos
21305|AA. VV.|Alemán - Unidad 14|Referencia, Manuales y cursos
21444|AA. VV.|Alemán - Unidad 15|Referencia, Manuales y cursos
22400|AA. VV.|Alemán - Unidad 16|Referencia, Manuales y cursos
23259|AA. VV.|Alemán - Unidad 17|Referencia, Manuales y cursos
23979|AA. VV.|Alemán - Unidad 18 Evaluación I|Referencia, Manuales y cursos
24235|AA. VV.|Alemán - Unidad 19|Referencia, Manuales y cursos
24372|AA. VV.|Alemán - Unidad 20|Referencia, Manuales y cursos
24502|AA. VV.|Alemán - Unidad 21|Referencia, Manuales y cursos
24566|AA. VV.|Alemán - Unidad 22|Referencia, Manuales y cursos
24728|AA. VV.|Alemán - Unidad 23|Referencia, Manuales y cursos
24750|AA. VV.|Alemán - Unidad 24|Referencia, Manuales y cursos
25064|AA. VV.|Alemán - Unidad 25|Referencia, Manuales y cursos
25965|AA. VV.|Alemán - Unidad 26|Referencia, Manuales y cursos
26228|AA. VV.|Alemán - Unidad 27|Referencia, Manuales y cursos
26427|AA. VV.|Alemán - Unidad 28|Referencia, Manuales y cursos
26670|AA. VV.|Alemán - Unidad 29|Referencia, Manuales y cursos
26931|AA. VV.|Alemán - Unidad 30|Referencia, Manuales y cursos
29355|AA. VV.|Alemán - Unidad 31|Referencia, Manuales y cursos
31937|AA. VV.|Alemán - Unidad 32|Referencia, Manuales y cursos
31992|AA. VV.|Alemán - Unidad 33|Referencia, Manuales y cursos
32154|AA. VV.|Alemán - Unidad 34|Referencia, Manuales y cursos
9423|AA. VV.|Amor al primer mordisco|Novela, Erótico
15253|AA. VV.|Antología del cuento extraño 1|Relato, Fantástico
15729|AA. VV.|Antología del cuento extraño 2|Relato, Fantástico
27940|AA. VV.|Antología del cuento extraño 3|Relato, Fantástico
14688|AA. VV.|Antología del cuento norteamericano|Relato, Drama, Fantástico
10771|AA. VV.|Antología universal del relato fantástico|Relato, Terror, Fantástico
2548|AA. VV.|Antología Z: Volumen 1|Relato, Terror
27264|AA. VV.|Asimov y sus amigos. En torno a Fundación|Relato, Ciencia ficción
19436|AA. VV.|Axxón|Relato, Ciencia ficción, Terror, Fantástico, Publicaciónes periódicas, Divulgación, Ciencias sociales
14046|AA. VV.|Barcelona negra|Relato, Policial
17942|AA. VV.|Be my Valentine|Relato, Romántico
25906|AA. VV. & Bernardo Fernández & Carlos Yushimito|¿Sueñan los androides con alpacas eléctricas?|Relato, Ciencia ficción
31658|AA. VV.|Borges at Eighty|Crónica, Comunicación, Memorias, Otros
11702|AA. VV.|Caperucita Roja|Relato, Infantil
10446|AA. VV.|Ciencia ficción. Selección 10|Relato, Ciencia ficción
10997|AA. VV.|Ciencia ficción. Selección 11|Relato, Ciencia ficción
11209|AA. VV.|Ciencia ficción. Selección 12|Relato, Ciencia ficción
11211|AA. VV.|Ciencia ficción. Selección 13|Relato, Ciencia ficción
10530|AA. VV.|Ciencia ficción. Selección 14|Relato, Ciencia ficción
11066|AA. VV.|Ciencia ficción. Selección 15|Relato, Ciencia ficción
11279|AA. VV.|Ciencia ficción. Selección 16|Relato, Ciencia ficción
10938|AA. VV.|Ciencia ficción. Selección 17|Relato, Ciencia ficción
11428|AA. VV.|Ciencia ficción. Selección 18|Relato, Ciencia ficción
11645|AA. VV.|Ciencia ficción. Selección 19|Relato, Ciencia ficción
10212|AA. VV.|Ciencia ficción. Selección 1|Relato, Ciencia ficción
10572|AA. VV.|Ciencia ficción. Selección 20 (Especial)|Relato, Ciencia ficción
11871|AA. VV.|Ciencia ficción. Selección 21|Relato, Ciencia ficción
12376|AA. VV.|Ciencia ficción. Selección 22|Relato, Ciencia ficción
12453|AA. VV.|Ciencia ficción. Selección 23|Relato, Ciencia ficción
12499|AA. VV.|Ciencia ficción. Selección 24|Relato, Ciencia ficción
11746|AA. VV.|Ciencia ficción. Selección 25 (Extra)|Relato, Ciencia ficción
12591|AA. VV.|Ciencia ficción. Selección 26|Relato, Ciencia ficción
12686|AA. VV.|Ciencia ficción. Selección 27|Relato, Ciencia ficción
12699|AA. VV.|Ciencia ficción. Selección 28|Relato, Ciencia ficción
12802|AA. VV.|Ciencia ficción. Selección 29|Relato, Ciencia ficción
10242|AA. VV.|Ciencia ficción. Selección 2|Relato, Ciencia ficción
10387|AA. VV.|Ciencia ficción. Selección 30|Relato, Ciencia ficción
11270|AA. VV.|Ciencia ficción. Selección 31|Relato, Ciencia ficción
12959|AA. VV.|Ciencia ficción. Selección 32|Relato, Ciencia ficción
13154|AA. VV.|Ciencia ficción. Selección 33|Relato, Ciencia ficción
13274|AA. VV.|Ciencia ficción. Selección 34|Relato, Ciencia ficción
12063|AA. VV.|Ciencia ficción. Selección 35|Relato, Ciencia ficción
11102|AA. VV.|Ciencia ficción. Selección 36|Relato, Ciencia ficción
14190|AA. VV.|Ciencia ficción. Selección 37|Relato, Ciencia ficción
14199|AA. VV.|Ciencia ficción. Selección 38|Relato, Ciencia ficción
14238|AA. VV.|Ciencia ficción. Selección 39|Relato, Ciencia ficción
10276|AA. VV.|Ciencia ficción. Selección 3|Relato, Ciencia ficción
